"","week","date","tests","positive","province","type"
"1",35,2013-08-31,1146,0.52,"Canada","Flu A"
"2",36,2013-09-07,1044,0.19,"Canada","Flu A"
"3",37,2013-09-14,1249,0.16,"Canada","Flu A"
"4",38,2013-09-21,1495,0.2,"Canada","Flu A"
"5",39,2013-09-28,1714,0.18,"Canada","Flu A"
"6",40,2013-10-05,1847,0.22,"Canada","Flu A"
"7",41,2013-10-12,1934,0.26,"Canada","Flu A"
"8",42,2013-10-19,1803,0.17,"Canada","Flu A"
"9",43,2013-10-26,2049,0.63,"Canada","Flu A"
"10",44,2013-11-02,2534,0.99,"Canada","Flu A"
"11",45,2013-11-09,2619,1.37,"Canada","Flu A"
"12",46,2013-11-16,2562,2.07,"Canada","Flu A"
"13",47,2013-11-23,2889,1.87,"Canada","Flu A"
"14",48,2013-11-30,3090,3.27,"Canada","Flu A"
"15",49,2013-12-07,3369,5.85,"Canada","Flu A"
"16",50,2013-12-14,3751,9.49,"Canada","Flu A"
"17",51,2013-12-21,4345,15.63,"Canada","Flu A"
"18",52,2013-12-28,5083,22.88,"Canada","Flu A"
"19",1,2014-01-04,8421,27.32,"Canada","Flu A"
"20",2,2014-01-11,12834,27.04,"Canada","Flu A"
"21",3,2014-01-18,11441,25.92,"Canada","Flu A"
"22",4,2014-01-25,10933,21.96,"Canada","Flu A"
"23",5,2014-02-01,10019,19.53,"Canada","Flu A"
"24",6,2014-02-08,9091,16.87,"Canada","Flu A"
"25",7,2014-02-15,7786,13.7,"Canada","Flu A"
"26",8,2014-02-22,7104,9.91,"Canada","Flu A"
"27",9,2014-03-01,6518,8.09,"Canada","Flu A"
"28",10,2014-03-08,6024,6.24,"Canada","Flu A"
"29",11,2014-03-15,5650,4.23,"Canada","Flu A"
"30",12,2014-03-22,5077,3.05,"Canada","Flu A"
"31",13,2014-03-29,5000,2.88,"Canada","Flu A"
"32",14,2014-04-05,5462,2.11,"Canada","Flu A"
"33",15,2014-04-12,4830,1.9,"Canada","Flu A"
"34",16,2014-04-19,3974,1.46,"Canada","Flu A"
"35",17,2014-04-26,4328,1.69,"Canada","Flu A"
"36",18,2014-05-03,3899,0.85,"Canada","Flu A"
"37",19,2014-05-10,3658,0.87,"Canada","Flu A"
"38",20,2014-05-17,3300,1.61,"Canada","Flu A"
"39",21,2014-05-24,2615,1.45,"Canada","Flu A"
"40",22,2014-05-31,2507,1.44,"Canada","Flu A"
"41",23,2014-06-07,2038,0.79,"Canada","Flu A"
"42",24,2014-06-14,2003,0.9,"Canada","Flu A"
"43",25,2014-06-21,1842,0.49,"Canada","Flu A"
"44",26,2014-06-28,1767,0.85,"Canada","Flu A"
"45",27,2014-07-05,1569,0.64,"Canada","Flu A"
"46",28,2014-07-12,1907,0.58,"Canada","Flu A"
"47",29,2014-07-19,1581,0.82,"Canada","Flu A"
"48",30,2014-07-26,1239,0.48,"Canada","Flu A"
"49",31,2014-08-02,1457,0.34,"Canada","Flu A"
"50",32,2014-08-09,1213,0.16,"Canada","Flu A"
"51",33,2014-08-16,1273,0.63,"Canada","Flu A"
"52",34,2014-08-23,1265,0.47,"Canada","Flu A"
"53",35,2014-08-30,1311,0.15,"Canada","Flu A"
"54",36,2014-09-06,1323,0.23,"Canada","Flu A"
"55",37,2014-09-13,1928,0.67,"Canada","Flu A"
"56",38,2014-09-20,2458,0.57,"Canada","Flu A"
"57",39,2014-09-27,2961,0.78,"Canada","Flu A"
"58",40,2014-10-04,2868,1.01,"Canada","Flu A"
"59",41,2014-10-11,2963,1.05,"Canada","Flu A"
"60",42,2014-10-18,2648,1.51,"Canada","Flu A"
"61",43,2014-10-25,3354,1.34,"Canada","Flu A"
"62",44,2014-11-01,2994,1.67,"Canada","Flu A"
"63",45,2014-11-08,3117,2.89,"Canada","Flu A"
"64",46,2014-11-15,3176,4.31,"Canada","Flu A"
"65",47,2014-11-22,3587,8.28,"Canada","Flu A"
"66",48,2014-11-29,4465,13.95,"Canada","Flu A"
"67",49,2014-12-06,5319,18.56,"Canada","Flu A"
"68",50,2014-12-13,6588,25.97,"Canada","Flu A"
"69",51,2014-12-20,10222,28.19,"Canada","Flu A"
"70",52,2014-12-27,9465,33.59,"Canada","Flu A"
"71",53,2015-01-03,14448,30.8,"Canada","Flu A"
"72",1,2015-01-10,16546,25.47,"Canada","Flu A"
"73",2,2015-01-17,13290,28.2,"Canada","Flu A"
"74",3,2015-01-24,10782,27.01,"Canada","Flu A"
"75",4,2015-01-31,11005,21.65,"Canada","Flu A"
"76",5,2015-02-07,8938,19.09,"Canada","Flu A"
"77",6,2015-02-14,8609,17.02,"Canada","Flu A"
"78",7,2015-02-21,8086,13.13,"Canada","Flu A"
"79",8,2015-02-28,7507,11.04,"Canada","Flu A"
"80",9,2015-03-07,7005,8.51,"Canada","Flu A"
"81",10,2015-03-14,6435,6.74,"Canada","Flu A"
"82",11,2015-03-21,5976,5.51,"Canada","Flu A"
"83",12,2015-03-28,6063,4.67,"Canada","Flu A"
"84",13,2015-04-04,4820,3.2,"Canada","Flu A"
"85",14,2015-04-11,5129,2.2,"Canada","Flu A"
"86",15,2015-04-18,5261,2.13,"Canada","Flu A"
"87",16,2015-04-25,4440,1.28,"Canada","Flu A"
"88",17,2015-05-02,4143,0.89,"Canada","Flu A"
"89",18,2015-05-09,3680,0.9,"Canada","Flu A"
"90",19,2015-05-16,3046,0.56,"Canada","Flu A"
"91",20,2015-05-23,2577,0.12,"Canada","Flu A"
"92",21,2015-05-30,2424,0.29,"Canada","Flu A"
"93",22,2015-06-06,1969,0.56,"Canada","Flu A"
"94",23,2015-06-13,2034,0.64,"Canada","Flu A"
"95",24,2015-06-20,1731,0.58,"Canada","Flu A"
"96",25,2015-06-27,1573,1.65,"Canada","Flu A"
"97",26,2015-07-04,1477,0.74,"Canada","Flu A"
"98",27,2015-07-11,1385,0.36,"Canada","Flu A"
"99",28,2015-07-18,1358,0.81,"Canada","Flu A"
"100",29,2015-07-25,1399,0.57,"Canada","Flu A"
"101",30,2015-08-01,1334,0.97,"Canada","Flu A"
"102",31,2015-08-08,1269,0.79,"Canada","Flu A"
"103",32,2015-08-15,1251,0.32,"Canada","Flu A"
"104",33,2015-08-22,1364,0.81,"Canada","Flu A"
"105",35,2015-09-05,1498,0.4,"Canada","Flu A"
"106",36,2015-09-12,1493,1.21,"Canada","Flu A"
"107",37,2015-09-19,1778,0.79,"Canada","Flu A"
"108",38,2015-09-26,1987,1.46,"Canada","Flu A"
"109",39,2015-10-03,2365,2.24,"Canada","Flu A"
"110",40,2015-10-10,2443,1.84,"Canada","Flu A"
"111",41,2015-10-17,2673,1.31,"Canada","Flu A"
"112",42,2015-10-24,2972,0.77,"Canada","Flu A"
"113",43,2015-10-31,3084,0.68,"Canada","Flu A"
"114",44,2015-11-07,3330,1.08,"Canada","Flu A"
"115",45,2015-11-14,3230,1.18,"Canada","Flu A"
"116",46,2015-11-21,3521,1.42,"Canada","Flu A"
