"","year","month","noro","rota","test","astro","sapo","adeno"
"1",2013,"January",224,292,1287,NA,NA,NA
"2",2013,"February",132,241,1042,NA,NA,NA
"3",2013,"March",105,85,857,NA,NA,NA
"4",2013,"April",80,61,945,NA,NA,NA
"5",2013,"May",45,46,917,NA,NA,NA
"6",2013,"June",21,14,770,NA,NA,NA
"7",2013,"July",53,10,913,NA,NA,NA
"8",2013,"August",77,21,908,NA,NA,NA
"9",2013,"September",97,16,881,NA,NA,NA
"10",2013,"October",54,35,865,NA,NA,NA
"11",2013,"November",95,65,894,NA,NA,NA
"12",2013,"December",139,234,1053,NA,NA,NA
"13",2014,"January",193,538,1356,NA,NA,NA
"14",2014,"February",122,180,978,NA,NA,NA
"15",2014,"March",82,59,847,NA,NA,NA
"16",2014,"April",46,29,807,NA,NA,NA
"17",2014,"May",45,25,949,NA,NA,NA
"18",2014,"June",57,9,922,NA,NA,NA
"19",2014,"July",94,7,969,NA,NA,NA
"20",2014,"August",69,11,874,NA,NA,NA
"21",2014,"September",90,3,840,NA,NA,NA
"22",2014,"October",80,5,864,NA,NA,NA
"23",2014,"November",131,12,812,NA,NA,NA
"24",2014,"December",190,71,938,NA,NA,NA
"25",2015,"January",251,205,1103,NA,NA,NA
"26",2015,"February",124,117,864,NA,NA,NA
"27",2015,"March",114,76,924,NA,NA,NA
"28",2015,"April",78,37,842,NA,NA,NA
"29",2015,"May",30,31,822,NA,NA,NA
"30",2015,"June",23,15,988,NA,NA,NA
"31",2015,"July",16,15,907,NA,NA,NA
"32",2015,"August",57,19,877,NA,NA,NA
"33",2015,"September",125,15,901,NA,NA,NA
"34",2015,"October",162,10,951,NA,NA,NA
"35",2015,"November",103,10,886,NA,NA,NA
"36",2015,"December",91,47,832,NA,NA,NA
"37",2016,"January",94,123,837,NA,NA,NA
"38",2016,"February",127,218,1031,NA,NA,NA
"39",2016,"March",89,130,972,NA,NA,NA
"40",2016,"April",68,103,936,NA,NA,NA
"41",2016,"May",60,44,989,NA,NA,NA
"42",2016,"June",50,27,941,NA,NA,NA
"43",2016,"July",46,22,926,NA,NA,NA
"44",2016,"August",72,34,1106,NA,NA,NA
"45",2016,"September",215,36,1184,NA,NA,NA
"46",2016,"October",306,33,1186,NA,NA,NA
"47",2016,"November",178,32,1074,NA,NA,NA
"48",2016,"December",141,36,1029,NA,NA,NA
"49",2017,"January",149,133,1027,NA,NA,NA
"50",2017,"February",161,163,1086,NA,NA,NA
"51",2017,"March",120,178,1114,NA,NA,NA
"52",2017,"April",56,78,918,NA,NA,NA
"53",2017,"May",65,56,1115,16,18,5
"54",2017,"June",54,21,1087,20,11,10
"55",2017,"July",31,18,1099,20,26,16
"56",2017,"August",43,17,1074,13,8,5
"57",2017,"September",47,13,953,10,17,14
"58",2017,"October",113,19,1059,14,67,20
"59",2017,"November",103,30,948,25,57,22
"60",2017,"December",90,89,914,18,29,15
"61",2018,"January",135,348,1271,20,32,17
"62",2018,"February",73,286,1134,12,15,10
"63",2018,"March",84,244,1144,12,12,1
"64",2018,"April",74,94,1178,15,7,12
"65",2018,"May",66,48,1188,16,11,13
"66",2018,"June",35,22,1036,6,8,7
"67",2018,"July",66,45,1132,6,19,15
"68",2018,"August",57,21,1223,7,17,7
"69",2018,"September",67,20,1056,7,21,6
"70",2018,"October",125,11,1103,12,52,7
"71",2018,"November",151,17,1073,14,42,30
"72",2018,"December",164,28,1081,21,25,23
"73",2019,"January",130,65,1123,13,15,17
"74",2019,"February",112,57,982,11,12,7
"75",2019,"March",94,76,1223,8,7,4
"76",2019,"April",90,50,1167,11,9,5
"77",2019,"May",59,12,1214,17,5,6
"78",2019,"June",39,25,1152,9,7,9
"79",2019,"July",55,26,1198,11,9,6
"80",2019,"August",42,20,1187,6,7,5
"81",2019,"September",91,10,1175,10,11,9
"82",2019,"October",141,11,1183,18,20,16
"83",2019,"November",154,24,1069,31,18,12
"84",2019,"December",140,43,1045,20,11,10
"85",2020,"January",120,52,980,23,13,6
"86",2020,"February",37,11,691,6,8,0
"87",2020,"March",8,5,789,4,2,0
"88",2020,"April",10,3,684,0,0,0
"89",2020,"May",10,4,872,0,2,0
"90",2020,"June",13,3,1082,1,0,0
"91",2020,"July",4,1,990,0,0,1
"92",2020,"August",3,4,869,0,0,0
"93",2020,"September",6,1,869,0,0,0
"94",2020,"October",10,2,835,0,0,0
"95",2020,"November",7,6,766,0,0,0
"96",2020,"December",17,3,776,0,1,0
"97",2021,"January",70,8,681,2,2,0
"98",2021,"February",59,38,784,3,7,1
"99",2021,"March",69,30,954,0,9,0
"100",2021,"April",29,46,968,2,6,0
"101",2021,"May",10,14,964,1,1,0
"102",2021,"June",9,11,1066,1,0,1
"103",2021,"July",12,16,1070,1,3,4
"104",2021,"August",34,6,1088,1,0,3
"105",2021,"September",26,2,1082,0,4,1
"106",2021,"October",20,6,1039,2,4,3
"107",2021,"November",28,17,1001,0,5,3
"108",2021,"December",57,14,975,0,3,3
"109",2022,"January",66,12,842,8,1,1
"110",2022,"February",35,2,553,1,1,0
"111",2022,"March",5,5,472,0,0,0
"112",2022,"April",5,12,526,1,0,0
"113",2022,"May",10,19,701,4,2,0
"114",2022,"June",11,3,730,1,1,1
"115",2022,"July",26,1,794,0,3,0
"116",2022,"August",7,2,859,0,0,0
"117",2022,"September",11,3,767,2,0,1
"118",2022,"October",11,5,735,2,0,5
"119",2022,"November",23,4,710,5,2,7
"120",2022,"December",30,3,621,1,2,2
"121",2023,"January",63,12,691,4,4,1
"122",2023,"February",59,15,730,5,5,1
"123",2023,"March",118,21,968,9,1,3
"124",2023,"April",93,13,874,13,5,3
"125",2023,"May",125,12,997,29,9,6
"126",2023,"June",284,13,1299,56,17,19
"127",2023,"July",293,15,1360,56,25,19
"128",2023,"August",85,11,1118,29,27,19
"129",2023,"September",80,16,992,12,37,15
"130",2023,"October",65,6,977,7,48,20
"131",2023,"November",73,6,1121,9,57,49
"132",2023,"December",68,27,901,3,12,45
"133",2024,"January",103,20,948,1,9,23
"134",2024,"February",87,35,848,2,6,10
"135",2024,"March",81,63,905,5,7,0
"136",2024,"April",71,86,1046,6,7,5
"137",2024,"May",84,46,1062,12,6,1
"138",2024,"June",92,37,1071,14,10,2
"139",2024,"July",91,17,1118,29,13,2
"140",2024,"August",59,26,1037,21,5,10
"141",2024,"September",63,28,1019,16,8,4
"142",2024,"October",NA,NA,NA,NA,NA,NA
"143",2024,"November",NA,NA,NA,NA,NA,NA
"144",2024,"December",NA,NA,NA,NA,NA,NA
