"","year","week","date","flua","flua_h1","flua_h3","flub","flub_vic","flub_yam"
"1",2014,1,2014-01-04,241,116,124,66,22,44
"2",2014,2,2014-01-11,447,279,166,110,44,66
"3",2014,3,2014-01-18,525,325,194,104,27,77
"4",2014,4,2014-01-25,610,393,217,128,29,99
"5",2014,5,2014-02-01,584,374,209,182,44,138
"6",2014,6,2014-02-08,721,480,241,205,42,163
"7",2014,7,2014-02-15,593,411,179,152,26,126
"8",2014,8,2014-02-22,508,329,179,240,40,200
"9",2014,9,2014-03-01,482,338,144,244,35,209
"10",2014,10,2014-03-08,329,195,133,246,46,200
"11",2014,11,2014-03-15,183,109,74,259,34,225
"12",2014,12,2014-03-22,155,91,63,270,34,236
"13",2014,13,2014-03-29,111,60,51,257,42,215
"14",2014,14,2014-04-05,75,39,35,164,25,139
"15",2014,15,2014-04-12,76,26,49,173,18,155
"16",2014,16,2014-04-19,39,19,18,111,7,104
"17",2014,17,2014-04-26,23,5,18,129,6,123
"18",2014,18,2014-05-03,38,5,33,109,6,103
"19",2014,19,2014-05-10,23,2,21,57,4,53
"20",2014,20,2014-05-17,24,11,13,43,0,43
"21",2014,21,2014-05-24,40,6,34,53,4,49
"22",2014,22,2014-05-31,82,5,77,46,1,45
"23",2014,23,2014-06-07,119,8,111,72,1,71
"24",2014,24,2014-06-14,202,12,190,57,1,56
"25",2014,25,2014-06-21,175,2,173,56,2,54
"26",2014,26,2014-06-28,148,2,146,26,1,25
"27",2014,27,2014-07-05,170,3,167,12,0,12
"28",2014,28,2014-07-12,170,3,167,16,0,16
"29",2014,29,2014-07-19,141,2,139,26,0,26
"30",2014,30,2014-07-26,103,0,103,14,0,14
"31",2014,31,2014-08-02,91,1,90,20,0,20
"32",2014,32,2014-08-09,69,2,67,4,0,4
"33",2014,33,2014-08-16,47,5,42,11,0,11
"34",2014,34,2014-08-23,42,1,41,10,0,10
"35",2014,35,2014-08-30,53,2,51,9,0,9
"36",2014,36,2014-09-06,30,1,29,6,0,6
"37",2014,37,2014-09-13,18,1,17,17,0,17
"38",2014,38,2014-09-20,20,1,19,10,0,10
"39",2014,39,2014-09-27,12,3,9,14,1,13
"40",2014,40,2014-10-04,21,6,15,9,0,9
"41",2014,41,2014-10-11,6,0,6,4,0,4
"42",2014,42,2014-10-18,12,4,8,4,0,4
"43",2014,43,2014-10-25,5,3,2,4,0,4
"44",2014,44,2014-11-01,6,0,6,0,0,0
"45",2014,45,2014-11-08,2,0,2,1,0,1
"46",2014,46,2014-11-15,3,0,3,1,0,1
"47",2014,47,2014-11-22,10,0,10,5,0,5
"48",2014,48,2014-11-29,14,0,14,2,0,2
"49",2014,49,2014-12-06,26,0,26,2,0,2
"50",2014,50,2014-12-13,53,0,53,10,0,10
"51",2014,51,2014-12-20,63,0,63,2,0,2
"52",2014,52,2014-12-27,190,9,180,6,0,6
"53",2015,1,2015-01-03,376,0,376,15,0,15
"54",2015,2,2015-01-10,575,3,572,26,0,26
"55",2015,3,2015-01-17,812,2,810,31,0,31
"56",2015,4,2015-01-24,1223,4,1218,32,0,32
"57",2015,5,2015-01-31,1459,10,1449,21,1,20
"58",2015,6,2015-02-07,1195,6,1189,31,2,29
"59",2015,7,2015-02-14,902,6,896,40,0,40
"60",2015,8,2015-02-21,677,2,675,42,0,42
"61",2015,9,2015-02-28,679,9,669,44,2,42
"62",2015,10,2015-03-07,481,17,464,66,0,66
"63",2015,11,2015-03-14,415,10,405,65,0,65
"64",2015,12,2015-03-21,368,13,355,60,2,58
"65",2015,13,2015-03-28,307,10,297,71,1,70
"66",2015,14,2015-04-04,146,5,141,59,2,57
"67",2015,15,2015-04-11,213,7,206,102,5,97
"68",2015,16,2015-04-18,110,3,107,84,1,83
"69",2015,17,2015-04-25,113,4,109,89,0,89
"70",2015,18,2015-05-02,94,12,82,81,2,79
"71",2015,19,2015-05-09,79,8,71,58,3,55
"72",2015,20,2015-05-16,94,6,88,56,5,51
"73",2015,21,2015-05-23,119,7,112,49,1,48
"74",2015,22,2015-05-30,155,4,151,71,3,68
"75",2015,23,2015-06-06,315,0,315,50,1,49
"76",2015,24,2015-06-13,513,2,511,41,1,40
"77",2015,25,2015-06-20,600,7,593,69,1,68
"78",2015,26,2015-06-27,722,7,715,55,1,54
"79",2015,27,2015-07-04,689,12,677,67,0,67
"80",2015,28,2015-07-11,458,8,450,37,0,37
"81",2015,29,2015-07-18,298,2,296,14,0,14
"82",2015,30,2015-07-25,177,2,175,31,0,31
"83",2015,31,2015-08-01,115,3,112,25,0,25
"84",2015,32,2015-08-08,112,4,108,23,0,23
"85",2015,33,2015-08-15,67,0,67,38,0,38
"86",2015,34,2015-08-22,74,0,74,27,1,26
"87",2015,35,2015-08-29,71,1,70,18,0,18
"88",2015,36,2015-09-05,38,0,38,6,0,6
"89",2015,37,2015-09-12,43,0,43,7,0,7
"90",2015,38,2015-09-19,34,3,31,6,1,5
"91",2015,39,2015-09-26,22,1,21,7,0,7
"92",2015,40,2015-10-03,21,2,19,9,0,9
"93",2015,41,2015-10-10,15,5,10,10,0,10
"94",2015,42,2015-10-17,14,0,14,3,0,3
"95",2015,43,2015-10-24,13,1,12,7,2,5
"96",2015,44,2015-10-31,10,3,7,4,2,2
"97",2015,45,2015-11-07,16,1,15,7,3,4
"98",2015,46,2015-11-14,18,9,9,11,4,7
"99",2015,47,2015-11-21,4,1,3,7,1,6
"100",2015,48,2015-11-28,18,12,6,14,8,6
"101",2015,49,2015-12-05,12,6,6,8,1,7
"102",2015,50,2015-12-12,10,4,6,8,2,6
"103",2015,51,2015-12-19,17,8,9,19,9,10
"104",2015,52,2015-12-26,32,26,6,27,15,12
"105",2016,1,2016-01-02,48,39,9,30,23,7
"106",2016,2,2016-01-09,76,67,9,37,14,23
"107",2016,3,2016-01-16,93,86,7,42,24,18
"108",2016,4,2016-01-23,116,107,9,29,15,14
"109",2016,5,2016-01-30,101,95,6,47,29,18
"110",2016,6,2016-02-06,81,63,18,59,33,26
"111",2016,7,2016-02-13,103,73,29,82,48,34
"112",2016,8,2016-02-20,110,85,25,41,22,19
"113",2016,9,2016-02-27,113,92,21,43,24,19
"114",2016,10,2016-03-05,146,129,17,32,21,11
"115",2016,11,2016-03-12,117,107,10,37,18,19
"116",2016,12,2016-03-19,102,93,9,65,38,27
