"","year","week","date","piv1","piv2","piv3","piv4","test","age"
"1",2014,1,2014-01-04,50,4,34,2,2164,NA
"2",2014,2,2014-01-11,19,6,28,2,2412,NA
"3",2014,3,2014-01-18,39,2,32,2,2307,NA
"4",2014,4,2014-01-25,45,1,26,6,2589,NA
"5",2014,5,2014-02-01,50,6,29,1,2676,NA
"6",2014,6,2014-02-08,54,4,43,2,3042,NA
"7",2014,7,2014-02-15,52,5,41,19,2588,NA
"8",2014,8,2014-02-22,44,10,55,23,2879,NA
"9",2014,9,2014-03-01,41,14,54,15,2882,NA
"10",2014,10,2014-03-08,56,8,60,21,2516,NA
"11",2014,11,2014-03-15,53,3,64,19,2433,NA
"12",2014,12,2014-03-22,43,2,53,13,2553,NA
"13",2014,13,2014-03-29,56,3,44,8,2533,NA
"14",2014,14,2014-04-05,34,5,46,7,2186,NA
"15",2014,15,2014-04-12,46,3,74,13,2552,NA
"16",2014,16,2014-04-19,26,3,68,12,2309,NA
"17",2014,17,2014-04-26,40,6,75,15,2297,NA
"18",2014,18,2014-05-03,17,6,63,8,2193,NA
"19",2014,19,2014-05-10,16,4,51,5,1933,NA
"20",2014,20,2014-05-17,12,2,68,11,1919,NA
"21",2014,21,2014-05-24,19,4,65,5,1972,NA
"22",2014,22,2014-05-31,23,1,55,14,2061,NA
"23",2014,23,2014-06-07,7,1,60,16,2132,NA
"24",2014,24,2014-06-14,11,8,53,3,2183,NA
"25",2014,25,2014-06-21,8,4,25,10,2048,NA
"26",2014,26,2014-06-28,14,3,54,6,1825,NA
"27",2014,27,2014-07-05,6,0,35,15,1867,NA
"28",2014,28,2014-07-12,9,0,25,11,1945,NA
"29",2014,29,2014-07-19,11,0,21,13,1924,NA
"30",2014,30,2014-07-26,1,2,23,10,1728,NA
"31",2014,31,2014-08-02,0,1,18,7,1709,NA
"32",2014,32,2014-08-09,2,0,17,7,1653,NA
"33",2014,33,2014-08-16,2,1,17,4,1549,NA
"34",2014,34,2014-08-23,4,0,13,7,1480,NA
"35",2014,35,2014-08-30,1,0,18,10,1638,NA
