"","year","week","date","adeno","rsv","rvev","rv","ev","test","age","hmpv"
"1",2014,1,2014-01-04,39,6,22,22,0,2164,NA,NA
"2",2014,2,2014-01-11,33,6,18,17,1,2412,NA,NA
"3",2014,3,2014-01-18,28,4,12,12,0,2307,NA,NA
"4",2014,4,2014-01-25,20,20,13,12,1,2589,NA,NA
"5",2014,5,2014-02-01,17,12,10,10,0,2676,NA,NA
"6",2014,6,2014-02-08,27,12,12,10,2,3042,NA,NA
"7",2014,7,2014-02-15,42,21,148,139,9,2588,NA,NA
"8",2014,8,2014-02-22,46,33,152,141,9,2879,NA,NA
"9",2014,9,2014-03-01,36,46,170,160,8,2882,NA,NA
"10",2014,10,2014-03-08,32,48,207,189,17,2516,NA,NA
"11",2014,11,2014-03-15,28,71,201,198,3,2433,NA,NA
"12",2014,12,2014-03-22,35,97,263,258,4,2553,NA,NA
"13",2014,13,2014-03-29,46,152,266,197,12,2533,NA,NA
"14",2014,14,2014-04-05,40,128,240,77,3,2186,NA,NA
"15",2014,15,2014-04-12,49,186,312,83,6,2552,NA,NA
"16",2014,16,2014-04-19,47,146,273,84,3,2309,NA,NA
"17",2014,17,2014-04-26,23,148,274,86,14,2297,NA,NA
"18",2014,18,2014-05-03,69,117,259,94,15,2193,NA,NA
"19",2014,19,2014-05-10,40,76,246,85,14,1933,NA,NA
"20",2014,20,2014-05-17,35,64,253,82,20,1919,NA,NA
"21",2014,21,2014-05-24,56,71,302,64,36,1972,NA,NA
"22",2014,22,2014-05-31,64,104,332,65,29,2061,NA,NA
"23",2014,23,2014-06-07,54,114,324,70,36,2132,NA,NA
"24",2014,24,2014-06-14,73,119,301,58,43,2183,NA,NA
"25",2014,25,2014-06-21,55,89,226,54,41,2048,NA,NA
"26",2014,26,2014-06-28,77,67,216,52,60,1825,NA,NA
"27",2014,27,2014-07-05,84,78,251,55,52,1867,NA,NA
"28",2014,28,2014-07-12,99,95,261,47,52,1945,NA,NA
"29",2014,29,2014-07-19,73,101,207,57,45,1924,NA,NA
"30",2014,30,2014-07-26,97,83,156,57,46,1728,NA,NA
"31",2014,31,2014-08-02,73,82,123,67,31,1709,NA,NA
