"","year","week","key","value"
"1",2015,1,"Salmonella",1
"2",2015,2,"Salmonella",6
"3",2015,3,"Salmonella",7
"4",2015,4,"Salmonella",10
"5",2015,5,"Salmonella",9
"6",2015,6,"Salmonella",7
"7",2015,7,"Salmonella",8
"8",2015,8,"Salmonella",7
"9",2015,9,"Salmonella",6
"10",2015,10,"Salmonella",2
"11",2015,11,"Salmonella",4
"12",2015,12,"Salmonella",6
"13",2015,13,"Salmonella",8
"14",2015,14,"Salmonella",11
"15",2015,15,"Salmonella",4
"16",2015,16,"Salmonella",8
"17",2015,17,"Salmonella",5
"18",2015,18,"Salmonella",4
"19",2015,19,"Salmonella",20
"20",2015,20,"Salmonella",21
"21",2015,21,"Salmonella",14
"22",2015,22,"Salmonella",20
"23",2015,23,"Salmonella",13
"24",2015,24,"Salmonella",11
"25",2015,25,"Salmonella",10
"26",2015,26,"Salmonella",18
"27",2015,27,"Salmonella",18
"28",2015,28,"Salmonella",22
"29",2015,29,"Salmonella",22
"30",2015,30,"Salmonella",32
"31",2015,31,"Salmonella",25
"32",2015,32,"Salmonella",23
"33",2015,33,"Salmonella",31
"34",2015,34,"Salmonella",43
"35",2015,35,"Salmonella",38
"36",2015,36,"Salmonella",30
"37",2015,37,"Salmonella",21
"38",2015,38,"Salmonella",27
"39",2015,39,"Salmonella",25
"40",2015,40,"Salmonella",23
"41",2015,41,"Salmonella",28
"42",2015,42,"Salmonella",25
"43",2015,43,"Salmonella",14
"44",2015,44,"Salmonella",14
"45",2015,45,"Salmonella",14
"46",2015,46,"Salmonella",16
"47",2015,47,"Salmonella",6
"48",2015,48,"Salmonella",13
"49",2015,49,"Salmonella",12
"50",2015,50,"Salmonella",9
"51",2015,51,"Salmonella",10
"52",2015,52,"Salmonella",7
"53",2016,1,"Salmonella",7
"54",2016,2,"Salmonella",6
"55",2016,3,"Salmonella",5
"56",2016,4,"Salmonella",8
"57",2016,5,"Salmonella",10
"58",2016,6,"Salmonella",1
"59",2016,7,"Salmonella",4
"60",2016,8,"Salmonella",7
"61",2016,9,"Salmonella",7
"62",2016,10,"Salmonella",2
"63",2016,11,"Salmonella",5
"64",2016,12,"Salmonella",12
"65",2016,13,"Salmonella",9
"66",2016,14,"Salmonella",8
"67",2016,15,"Salmonella",10
"68",2016,16,"Salmonella",9
"69",2016,17,"Salmonella",13
"70",2016,18,"Salmonella",0
"71",2016,19,"Salmonella",8
"72",2016,20,"Salmonella",9
"73",2016,21,"Salmonella",11
"74",2016,22,"Salmonella",19
"75",2016,23,"Salmonella",16
"76",2016,24,"Salmonella",16
"77",2016,25,"Salmonella",32
"78",2016,26,"Salmonella",22
"79",2016,27,"Salmonella",32
"80",2016,28,"Salmonella",21
"81",2016,29,"Salmonella",24
"82",2016,30,"Salmonella",28
"83",2016,31,"Salmonella",27
"84",2016,32,"Salmonella",33
"85",2016,33,"Salmonella",43
"86",2016,34,"Salmonella",52
"87",2016,35,"Salmonella",66
"88",2016,36,"Salmonella",60
"89",2016,37,"Salmonella",63
"90",2016,38,"Salmonella",50
"91",2016,39,"Salmonella",83
"92",2016,40,"Salmonella",51
"93",2016,41,"Salmonella",42
"94",2016,42,"Salmonella",42
"95",2016,43,"Salmonella",31
"96",2016,44,"Salmonella",31
"97",2016,45,"Salmonella",22
"98",2016,46,"Salmonella",31
"99",2016,47,"Salmonella",17
"100",2016,48,"Salmonella",11
"101",2016,49,"Salmonella",8
"102",2016,50,"Salmonella",5
"103",2016,51,"Salmonella",9
"104",2016,52,"Salmonella",11
"105",2016,53,"Salmonella",3
"106",2017,1,"Salmonella",7
"107",2017,2,"Salmonella",14
"108",2017,3,"Salmonella",13
"109",2017,4,"Salmonella",15
"110",2017,5,"Salmonella",6
"111",2017,6,"Salmonella",7
"112",2017,7,"Salmonella",7
"113",2017,8,"Salmonella",6
"114",2017,9,"Salmonella",10
"115",2017,10,"Salmonella",9
"116",2017,11,"Salmonella",18
"117",2017,12,"Salmonella",14
"118",2017,13,"Salmonella",12
"119",2017,14,"Salmonella",11
"120",2017,15,"Salmonella",14
"121",2017,16,"Salmonella",23
"122",2017,17,"Salmonella",12
"123",2017,18,"Salmonella",8
"124",2017,19,"Salmonella",19
"125",2017,20,"Salmonella",29
"126",2017,21,"Salmonella",28
"127",2017,22,"Salmonella",35
"128",2017,23,"Salmonella",33
"129",2017,24,"Salmonella",26
"130",2017,25,"Salmonella",22
"131",2017,26,"Salmonella",24
"132",2017,27,"Salmonella",36
"133",2017,28,"Salmonella",41
"134",2017,29,"Salmonella",51
"135",2017,30,"Salmonella",71
"136",2017,31,"Salmonella",116
"137",2017,32,"Salmonella",152
"138",2017,33,"Salmonella",150
"139",2017,34,"Salmonella",142
"140",2017,35,"Salmonella",129
"141",2017,36,"Salmonella",104
"142",2017,37,"Salmonella",119
"143",2017,38,"Salmonella",83
"144",2017,39,"Salmonella",71
"145",2017,40,"Salmonella",31
"146",2017,41,"Salmonella",146
"147",2017,42,"Salmonella",100
"148",2017,43,"Salmonella",75
"149",2017,44,"Salmonella",50
"150",2017,45,"Salmonella",57
"151",2017,46,"Salmonella",23
"152",2017,47,"Salmonella",23
"153",2017,48,"Salmonella",23
"154",2017,49,"Salmonella",20
"155",2017,50,"Salmonella",16
"156",2017,51,"Salmonella",21
"157",2017,52,"Salmonella",10
"158",2018,1,"Salmonella",20
"159",2018,2,"Salmonella",32
"160",2018,3,"Salmonella",18
"161",2018,4,"Salmonella",17
"162",2018,5,"Salmonella",23
"163",2018,6,"Salmonella",20
"164",2018,7,"Salmonella",13
"165",2018,8,"Salmonella",21
"166",2018,9,"Salmonella",17
"167",2018,10,"Salmonella",29
"168",2018,11,"Salmonella",22
"169",2018,12,"Salmonella",22
"170",2018,13,"Salmonella",26
"171",2018,14,"Salmonella",28
"172",2018,15,"Salmonella",23
"173",2018,16,"Salmonella",25
"174",2018,17,"Salmonella",29
"175",2018,18,"Salmonella",33
"176",2018,19,"Salmonella",26
"177",2018,20,"Salmonella",28
"178",2018,21,"Salmonella",41
"179",2018,22,"Salmonella",48
"180",2018,23,"Salmonella",38
"181",2018,24,"Salmonella",54
"182",2018,25,"Salmonella",44
"183",2018,26,"Salmonella",48
"184",2018,27,"Salmonella",66
"185",2018,28,"Salmonella",70
"186",2018,29,"Salmonella",45
"187",2018,30,"Salmonella",54
"188",2018,31,"Salmonella",65
"189",2018,32,"Salmonella",95
"190",2018,33,"Salmonella",97
"191",2018,34,"Salmonella",104
"192",2018,35,"Salmonella",85
"193",2018,36,"Salmonella",106
"194",2018,37,"Salmonella",168
"195",2018,38,"Salmonella",88
"196",2018,39,"Salmonella",71
"197",2018,40,"Salmonella",111
"198",2018,41,"Salmonella",74
"199",2018,42,"Salmonella",68
"200",2018,43,"Salmonella",54
"201",2018,44,"Salmonella",35
"202",2018,45,"Salmonella",43
"203",2018,46,"Salmonella",45
"204",2018,47,"Salmonella",16
"205",2018,48,"Salmonella",24
"206",2018,49,"Salmonella",14
"207",2018,50,"Salmonella",24
"208",2018,51,"Salmonella",14
"209",2018,52,"Salmonella",18
"210",2019,1,"Salmonella",15
"211",2019,2,"Salmonella",18
"212",2019,3,"Salmonella",24
"213",2019,4,"Salmonella",22
"214",2019,5,"Salmonella",22
"215",2019,6,"Salmonella",8
"216",2019,7,"Salmonella",22
"217",2019,8,"Salmonella",18
"218",2019,9,"Salmonella",19
"219",2019,10,"Salmonella",25
"220",2019,11,"Salmonella",27
"221",2019,12,"Salmonella",19
"222",2019,13,"Salmonella",27
"223",2019,14,"Salmonella",13
"224",2019,15,"Salmonella",36
"225",2019,16,"Salmonella",54
"226",2019,17,"Salmonella",44
"227",2019,18,"Salmonella",44
"228",2019,19,"Salmonella",49
"229",2019,20,"Salmonella",46
"230",2019,21,"Salmonella",48
"231",2019,22,"Salmonella",61
"232",2019,23,"Salmonella",39
"233",2019,24,"Salmonella",56
"234",2019,25,"Salmonella",69
"235",2019,26,"Salmonella",44
"236",2019,27,"Salmonella",74
"237",2019,28,"Salmonella",59
"238",2019,29,"Salmonella",70
"239",2019,30,"Salmonella",83
"240",2019,31,"Salmonella",78
"241",2019,32,"Salmonella",101
"242",2019,33,"Salmonella",105
"243",2019,34,"Salmonella",125
"244",2019,35,"Salmonella",103
"245",2019,36,"Salmonella",94
"246",2019,37,"Salmonella",61
"247",2019,38,"Salmonella",119
"248",2019,39,"Salmonella",111
"249",2019,40,"Salmonella",74
"250",2019,41,"Salmonella",75
"251",2019,42,"Salmonella",62
"252",2019,43,"Salmonella",68
"253",2019,44,"Salmonella",65
"254",2019,45,"Salmonella",68
"255",2019,46,"Salmonella",36
"256",2019,47,"Salmonella",39
"257",2019,48,"Salmonella",33
"258",2019,49,"Salmonella",27
"259",2019,50,"Salmonella",22
"260",2019,51,"Salmonella",21
"261",2019,52,"Salmonella",19
"262",2020,1,"Salmonella",23
"263",2020,2,"Salmonella",22
"264",2020,3,"Salmonella",30
"265",2020,4,"Salmonella",22
"266",2020,5,"Salmonella",28
"267",2020,6,"Salmonella",15
"268",2020,7,"Salmonella",14
"269",2020,8,"Salmonella",21
"270",2020,9,"Salmonella",16
"271",2020,10,"Salmonella",11
"272",2020,11,"Salmonella",5
"273",2020,12,"Salmonella",11
"274",2020,13,"Salmonella",11
"275",2020,14,"Salmonella",15
"276",2020,15,"Salmonella",11
"277",2020,16,"Salmonella",9
"278",2020,17,"Salmonella",10
"279",2020,18,"Salmonella",15
"280",2020,19,"Salmonella",16
"281",2020,20,"Salmonella",18
"282",2020,21,"Salmonella",30
"283",2020,22,"Salmonella",44
"284",2020,23,"Salmonella",33
"285",2020,24,"Salmonella",33
"286",2020,25,"Salmonella",48
"287",2020,26,"Salmonella",80
"288",2020,27,"Salmonella",60
"289",2020,28,"Salmonella",57
