"","year","week","date","tests","positive","region","type"
"1",2013,27,2013-07-06,46,0,"MID","RSV"
"2",2013,27,2013-07-06,0,0,"SOUTH","RSV"
"3",2013,27,2013-07-06,44,0,"WEST","RSV"
"4",2013,28,2013-07-13,68,0,"MID","RSV"
"5",2013,28,2013-07-13,0,0,"SOUTH","RSV"
"6",2013,28,2013-07-13,57,0,"WEST","RSV"
"7",2013,29,2013-07-20,73,0,"MID","RSV"
"8",2013,29,2013-07-20,0,0,"SOUTH","RSV"
"9",2013,29,2013-07-20,52,0,"WEST","RSV"
"10",2013,30,2013-07-27,43,0,"MID","RSV"
"11",2013,30,2013-07-27,0,0,"SOUTH","RSV"
"12",2013,30,2013-07-27,42,0,"WEST","RSV"
"13",2013,31,2013-08-03,36,0,"MID","RSV"
"14",2013,31,2013-08-03,0,0,"SOUTH","RSV"
"15",2013,31,2013-08-03,47,0,"WEST","RSV"
"16",2013,32,2013-08-10,25,0,"MID","RSV"
"17",2013,32,2013-08-10,0,0,"SOUTH","RSV"
"18",2013,32,2013-08-10,53,0,"WEST","RSV"
"19",2013,33,2013-08-17,42,0,"MID","RSV"
"20",2013,33,2013-08-17,0,0,"SOUTH","RSV"
"21",2013,33,2013-08-17,50,0,"WEST","RSV"
"22",2013,34,2013-08-24,40,0,"MID","RSV"
"23",2013,34,2013-08-24,0,0,"SOUTH","RSV"
"24",2013,34,2013-08-24,59,1,"WEST","RSV"
"25",2013,35,2013-08-31,37,0,"MID","RSV"
"26",2013,35,2013-08-31,0,0,"SOUTH","RSV"
"27",2013,35,2013-08-31,75,0,"WEST","RSV"
"28",2013,36,2013-09-07,39,0,"MID","RSV"
"29",2013,36,2013-09-07,0,0,"SOUTH","RSV"
"30",2013,36,2013-09-07,143,0,"WEST","RSV"
"31",2013,37,2013-09-14,39,1,"MID","RSV"
"32",2013,37,2013-09-14,0,0,"SOUTH","RSV"
"33",2013,37,2013-09-14,147,1,"WEST","RSV"
"34",2013,38,2013-09-21,55,0,"MID","RSV"
"35",2013,38,2013-09-21,0,0,"SOUTH","RSV"
"36",2013,38,2013-09-21,144,0,"WEST","RSV"
"37",2013,39,2013-09-28,61,0,"MID","RSV"
"38",2013,39,2013-09-28,0,0,"SOUTH","RSV"
"39",2013,39,2013-09-28,141,2,"WEST","RSV"
"40",2013,40,2013-10-05,82,0,"MID","RSV"
"41",2013,40,2013-10-05,6,0,"SOUTH","RSV"
"42",2013,40,2013-10-05,170,0,"WEST","RSV"
"43",2013,41,2013-10-12,93,0,"MID","RSV"
"44",2013,41,2013-10-12,56,0,"SOUTH","RSV"
"45",2013,41,2013-10-12,181,2,"WEST","RSV"
"46",2013,42,2013-10-19,55,0,"MID","RSV"
"47",2013,42,2013-10-19,41,0,"SOUTH","RSV"
"48",2013,42,2013-10-19,166,1,"WEST","RSV"
"49",2013,43,2013-10-26,114,0,"MID","RSV"
"50",2013,43,2013-10-26,41,0,"SOUTH","RSV"
"51",2013,43,2013-10-26,149,0,"WEST","RSV"
"52",2013,44,2013-11-02,118,0,"MID","RSV"
"53",2013,44,2013-11-02,34,0,"SOUTH","RSV"
"54",2013,44,2013-11-02,140,0,"WEST","RSV"
"55",2013,45,2013-11-09,142,0,"MID","RSV"
"56",2013,45,2013-11-09,75,0,"SOUTH","RSV"
"57",2013,45,2013-11-09,180,1,"WEST","RSV"
"58",2013,46,2013-11-16,146,0,"MID","RSV"
"59",2013,46,2013-11-16,90,6,"SOUTH","RSV"
"60",2013,46,2013-11-16,174,1,"WEST","RSV"
